# timestamp, tx, ty, tz, qx, qy, qz, qw
0 0.000000 0.000000 -2.000000 0.000000 -0.000000 0.000000 1.000000
1 1.447214 -1.051450 -0.894440 -0.468427 -0.238677 0.386190 0.757936
2 -0.552776 -1.701298 -0.894440 -0.519256 0.082241 -0.133069 0.840180
3 -1.788852 0.000000 -0.894432 -0.371747 0.371748 -0.601502 0.601501
4 -0.552776 1.701298 -0.894440 -0.082241 0.519256 -0.840180 0.133069
5 1.447214 1.051450 -0.894440 -0.238677 -0.468427 0.757936 0.386190
6 0.552776 -1.701298 0.894440 -0.840180 -0.133069 0.082241 0.519256
7 -1.447214 -1.051450 0.894440 -0.757936 0.386190 -0.238677 0.468427
8 -1.447214 1.051450 0.894440 -0.386190 0.757936 -0.468427 0.238677
9 0.552776 1.701298 0.894440 -0.133069 -0.840180 0.519256 0.082241
10 1.788852 0.000000 0.894432 -0.601502 -0.601501 0.371747 0.371747
11 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000
12 -0.324912 -0.999990 -1.701308 -0.269899 0.042747 -0.150478 0.950097
13 0.850646 -0.618022 -1.701308 -0.243479 -0.124060 0.436714 0.857093
14 0.525738 -1.618024 -1.051476 -0.480966 -0.076179 0.136636 0.862670
15 1.701296 0.000000 -1.051472 -0.344334 -0.344335 0.617604 0.617603
16 0.850646 0.618022 -1.701308 -0.124060 -0.243479 0.857093 0.436714
17 -1.051460 0.000000 -1.701304 -0.193228 0.193228 -0.680193 0.680193
18 -1.376378 -0.999994 -1.051472 -0.433886 0.221077 -0.396527 0.778225
19 -0.324912 0.999990 -1.701308 -0.042748 0.269899 -0.950097 0.150479
20 -1.376378 0.999994 -1.051472 -0.221076 0.433886 -0.778225 0.396527
21 0.525738 1.618024 -1.051476 -0.076180 -0.480966 0.862670 0.136637
22 1.902116 -0.618026 0.000000 -0.572061 -0.415629 0.415628 0.572060
23 1.902116 0.618026 0.000000 -0.415628 -0.572061 0.572060 0.415628
24 0.000000 -2.000000 0.000000 -0.707107 -0.000000 0.000000 0.707107
25 1.175572 -1.618034 0.000000 -0.672499 -0.218508 0.218508 0.672498
26 -1.902116 -0.618026 0.000000 -0.572061 0.415629 -0.415628 0.572060
27 -1.175572 -1.618034 0.000000 -0.672499 0.218508 -0.218508 0.672498
28 -1.175572 1.618034 0.000000 -0.218508 0.672499 -0.672499 0.218505
29 -1.902116 0.618026 0.000000 -0.415628 0.572061 -0.572060 0.415628
30 1.175572 1.618034 0.000000 -0.218508 -0.672499 0.672499 0.218505
31 0.000000 2.000000 0.000000 0.000000 -0.707107 0.707107 0.000000
32 1.376378 -0.999994 1.051472 -0.778225 -0.396527 0.221076 0.433886
33 -0.525738 -1.618024 1.051476 -0.862670 0.136636 -0.076179 0.480966
34 -1.701296 0.000000 1.051472 -0.617604 0.617603 -0.344334 0.344334
35 -0.525738 1.618024 1.051476 -0.136635 0.862670 -0.480966 0.076181
36 1.376378 0.999994 1.051472 -0.396527 -0.778225 0.433886 0.221077
37 0.324912 -0.999990 1.701308 -0.950097 -0.150478 0.042747 0.269899
38 1.051460 0.000000 1.701304 -0.680194 -0.680193 0.193228 0.193228
39 -0.850646 -0.618022 1.701308 -0.857093 0.436714 -0.124060 0.243479
40 -0.850646 0.618022 1.701308 -0.436713 0.857093 -0.243479 0.124060
41 0.324912 0.999990 1.701308 -0.150474 -0.950097 0.269899 0.042749
